事故时间,车龄,天气,车型,路面状况,碰撞物体,人为因素,严重程度
1,2,2,2,2,8,25,2
1,1,1,2,1,9,21,2
2,2,2,2,4,2,21,2
2,2,1,2,4,4,6,2
2,2,2,2,1,6,4,2
1,3,1,2,4,1,25,2
2,1,1,2,3,8,21,2
2,2,2,2,2,5,21,2
1,1,2,2,3,1,6,2
2,3,2,2,4,2,23,2
1,1,1,2,1,4,19,2
1,3,2,2,1,3,21,2
1,3,2,2,3,2,6,2
2,3,2,2,3,5,21,2
1,1,2,2,1,6,3,2
1,3,2,2,3,1,6,2
1,1,2,2,1,4,21,2
1,3,1,2,2,7,21,2
1,1,2,2,1,1,8,2
1,2,1,2,4,9,6,2
1,3,1,2,4,6,6,2
2,2,2,2,3,8,21,2
1,2,2,2,2,7,21,2
2,3,2,2,1,9,21,2
1,3,2,2,1,8,21,2
1,1,1,2,1,8,21,2
2,2,2,2,2,7,21,2
2,1,2,2,1,4,21,2
2,2,2,2,4,5,21,2
2,1,2,2,2,1,6,2
1,1,2,2,1,4,25,2
1,1,1,2,1,9,21,2
1,3,2,2,4,7,21,2
1,3,1,2,1,8,21,2
1,1,1,2,2,4,21,2
2,2,1,2,2,6,20,2
1,2,2,2,4,2,21,2
1,3,2,2,1,1,21,2
1,1,1,2,1,9,6,2
2,3,1,2,1,3,19,2
2,2,2,2,2,6,21,2
1,3,2,2,4,7,22,2
1,1,1,2,1,7,9,2
2,3,1,2,4,2,21,2
1,3,2,2,2,1,21,2
1,2,2,2,4,9,3,2
2,1,2,2,1,7,21,2
1,2,1,2,4,6,21,2
1,1,1,2,3,8,25,2
2,2,1,2,4,1,21,2
1,3,2,2,1,9,21,2
2,2,2,2,2,9,21,2
1,1,1,2,4,9,35,2
2,1,2,2,3,9,25,2
2,3,1,2,2,7,21,2
1,2,2,2,2,7,21,2
1,3,1,2,2,1,20,2
2,3,1,2,2,7,21,2
1,1,2,2,3,7,4,2
2,2,1,2,2,2,23,2
2,3,2,2,3,6,21,2
2,2,2,2,2,1,25,2
2,3,2,2,2,8,5,2
2,2,1,2,2,6,21,2
1,3,2,2,4,3,19,2
2,1,1,2,1,3,21,2
1,2,2,2,3,9,21,2
1,2,1,2,3,2,21,2
2,1,1,2,4,7,21,2
1,2,1,2,1,7,32,2
2,1,1,2,1,4,21,2
2,2,1,2,3,6,21,2
2,1,2,2,4,6,21,2
