事故时间,车龄,天气,车型,路面状况,碰撞方式,人为因素,严重程度
2,2,1,3,2,5,5,3
1,3,1,3,3,3,5,3
2,2,1,3,1,7,16,3
1,2,1,3,1,5,5,3
1,1,1,2,3,3,13,3
2,1,1,2,4,3,8,3
2,2,1,1,1,5,7,3
2,3,2,2,4,4,25,3
2,3,2,1,2,9,13,3
1,1,1,3,3,1,25,3
2,3,2,3,1,3,13,3
1,3,1,3,3,1,25,3
1,3,2,1,3,6,2,3
1,2,2,2,3,4,34,3
1,1,2,2,1,8,5,3
2,2,1,3,3,5,36,3
2,1,2,2,3,8,13,3
1,1,1,2,4,6,5,3
1,2,2,3,2,7,23,3
1,2,1,1,2,4,13,3
1,1,1,1,2,9,7,3
1,3,2,2,4,6,5,3
2,1,1,3,4,2,3,3
2,1,2,1,4,9,13,3
2,1,2,1,4,1,5,3
2,2,2,2,1,3,21,3
1,1,2,1,1,2,7,3
2,2,1,2,4,4,23,3
2,2,1,3,2,7,13,3
1,1,2,2,2,8,6,3
2,1,1,1,2,6,13,3
2,1,1,2,2,5,36,3
1,1,1,2,2,5,13,3
1,2,1,3,4,4,5,3
1,2,1,1,2,1,13,3
1,3,1,1,2,5,5,3
2,3,1,1,2,3,5,3
1,1,2,1,3,8,13,3
1,1,2,3,1,4,13,3
1,1,2,3,2,9,13,3
1,2,2,2,2,3,5,3
2,2,2,2,2,7,6,3
1,2,2,3,4,1,14,3
1,1,1,3,4,1,25,3
2,2,1,3,3,2,5,3
1,3,2,2,1,2,7,3
1,2,2,3,4,4,21,3
2,3,1,2,4,3,13,3
1,1,2,3,2,8,21,3
2,1,1,3,1,5,13,3
1,1,1,1,4,4,25,3
2,3,1,2,1,2,2,3
2,2,1,2,4,7,21,3
1,1,2,3,2,2,7,3
2,2,1,1,2,6,7,3
2,2,2,1,4,7,2,3
2,1,1,2,2,3,14,3
2,3,2,3,2,5,13,3
1,2,1,2,1,7,2,3
1,1,1,3,4,9,13,3
2,1,1,1,1,4,16,3
2,2,1,2,4,9,5,3
1,2,2,1,1,9,36,3
1,3,1,1,4,4,6,3
1,2,2,1,1,9,5,3
2,2,1,2,2,1,13,3
1,2,1,3,1,2,5,3
2,3,1,3,1,5,20,3
1,1,2,1,4,3,12,3
2,1,2,2,1,6,5,3
1,1,2,1,2,3,5,3
2,2,2,2,4,4,6,3
2,3,1,2,1,2,2,3
2,3,1,1,4,7,2,3
2,3,1,1,4,3,34,3
2,2,2,2,1,2,7,3
1,3,2,1,4,7,5,3
2,2,2,2,1,3,7,3
1,2,1,1,1,4,5,3
1,3,2,1,3,1,5,3
